timeWindowStart,viewers,readers
2024-09-21T20:00:00,5,3
2025-03-10T20:00:00,52,25
2023-01-21T19:00:00,5,1
2023-10-23T20:00:00,25,14
2025-07-20T20:00:00,7,3
2025-09-07T20:00:00,38,19
2023-07-28T20:00:00,4,2
2024-11-09T19:00:00,11,5
2024-09-08T20:00:00,86,42
2023-11-17T19:00:00,13,3
2024-02-28T19:00:00,61,35
2025-08-11T20:00:00,26,13
2025-09-13T20:00:00,2,1
2024-01-06T19:00:00,14,7
2025-05-27T20:00:00,35,13
2024-04-20T20:00:00,6,2
2024-08-17T20:00:00,19,10
2025-05-01T20:00:00,46,26
2025-09-11T20:00:00,48,16
2023-10-26T20:00:00,24,15
2023-11-05T19:00:00,26,16
2025-02-10T19:00:00,15,6
2023-04-21T20:00:00,6,3
2024-04-29T20:00:00,45,28
2023-12-27T19:00:00,27,15
2024-02-05T19:00:00,69,41
2024-02-24T19:00:00,9,5
2025-04-05T20:00:00,8,4
2023-01-13T19:00:00,4,3
2023-01-30T19:00:00,13,4
2023-08-02T20:00:00,25,14
2023-08-10T20:00:00,6,3
2024-08-28T20:00:00,89,43
2024-10-16T20:00:00,109,66
2023-05-16T20:00:00,34,25
2023-06-14T20:00:00,23,6
2024-06-09T20:00:00,59,26
2025-06-30T20:00:00,37,15
2025-07-26T20:00:00,4,1
2023-03-21T20:00:00,27,12
2023-03-22T20:00:00,21,8
2023-09-25T20:00:00,38,24
2023-09-29T20:00:00,8,5
2024-10-31T20:00:00,79,39
2023-05-18T20:00:00,28,24
2023-05-21T20:00:00,23,15
2025-04-03T20:00:00,50,23
2023-02-11T19:00:00,4,2
2023-07-31T20:00:00,22,13
2023-05-27T20:00:00,2,1
2023-10-01T20:00:00,25,11
2024-09-14T20:00:00,5,3
2024-09-16T20:00:00,80,40
2024-09-24T20:00:00,103,49
2024-09-29T20:00:00,96,44
2023-01-27T19:00:00,3,0
2023-02-06T19:00:00,24,13
2024-11-16T19:00:00,20,11
2024-10-08T20:00:00,80,35
2024-10-24T20:00:00,75,37
2024-01-31T19:00:00,46,28
2024-07-23T20:00:00,66,39
2024-09-25T20:00:00,72,42
2025-03-03T19:00:00,42,21
2023-03-08T19:00:00,30,14
2023-07-07T20:00:00,4,1
2023-12-16T19:00:00,9,4
2024-03-11T20:00:00,108,63
2024-08-21T20:00:00,89,47
2023-04-10T20:00:00,25,12
2023-05-05T20:00:00,5,3
2024-09-07T20:00:00,15,4
2025-03-26T20:00:00,62,37
2025-05-07T20:00:00,57,29
2023-02-12T19:00:00,23,13
2023-09-15T20:00:00,4,3
2024-02-25T19:00:00,33,20
2024-03-24T20:00:00,80,38
2024-11-26T19:00:00,65,43
2025-04-16T20:00:00,54,27
2023-05-10T20:00:00,50,28
2024-02-23T19:00:00,11,5
2024-08-18T20:00:00,72,42
2025-08-10T20:00:00,9,3
2023-02-08T19:00:00,37,13
2023-10-07T20:00:00,7,3
2024-05-29T20:00:00,67,38
2023-02-09T19:00:00,28,18
2023-04-15T20:00:00,3,2
2024-03-10T20:00:00,58,27
2024-04-15T20:00:00,106,67
2024-08-01T20:00:00,73,38
2024-12-18T19:00:00,39,24
2023-06-13T20:00:00,24,11
2023-11-14T19:00:00,49,25
2024-09-18T20:00:00,87,46
2023-01-04T19:00:00,25,15
2023-01-14T19:00:00,6,3
2024-05-26T20:00:00,73,35
2024-11-04T19:00:00,82,41
2025-01-13T19:00:00,72,38
2023-08-19T20:00:00,6,2
2024-01-03T19:00:00,34,18
2023-12-04T19:00:00,44,24
2025-08-09T20:00:00,10,7
2025-09-06T20:00:00,10,5
2023-03-27T20:00:00,18,6
2023-08-27T20:00:00,14,4
2024-10-12T20:00:00,16,5
2024-10-19T20:00:00,30,11
2024-12-26T19:00:00,36,26
2025-06-06T20:00:00,3,0
2023-05-02T20:00:00,2,1
2024-06-25T20:00:00,89,49
2023-02-15T19:00:00,26,13
2024-03-05T19:00:00,84,47
2023-10-27T20:00:00,3,1
2023-11-13T19:00:00,48,29
2025-01-10T19:00:00,6,3
2025-07-06T20:00:00,44,16
2023-10-15T20:00:00,18,10
2024-08-27T20:00:00,84,44
2023-01-15T19:00:00,28,12
2024-11-29T19:00:00,5,4
2024-05-12T20:00:00,77,44
2024-09-19T20:00:00,81,51
2023-12-24T19:00:00,68,37
2024-03-18T20:00:00,72,41
2024-10-21T20:00:00,89,48
2023-11-15T19:00:00,59,36
2024-06-20T20:00:00,68,34
2024-07-05T20:00:00,11,3
2024-12-05T19:00:00,52,30
2025-01-22T19:00:00,35,15
2023-01-09T19:00:00,19,7
2023-06-25T20:00:00,23,8
2023-04-28T20:00:00,1,0
2024-07-27T20:00:00,13,5
2024-08-29T20:00:00,87,45
2024-11-25T19:00:00,50,26
2023-01-19T19:00:00,19,16
2023-02-19T19:00:00,23,11
2023-02-04T19:00:00,9,3
2023-09-01T20:00:00,3,1
2023-10-28T20:00:00,8,3
2024-01-27T19:00:00,6,3
2023-11-16T19:00:00,41,29
2024-06-19T20:00:00,71,40
2024-12-22T19:00:00,47,21
2025-05-20T20:00:00,51,33
2023-01-31T19:00:00,45,15
2023-02-16T19:00:00,24,15
2023-12-14T19:00:00,56,31
2024-07-02T20:00:00,98,56
2024-07-13T20:00:00,12,5
2025-06-25T20:00:00,52,23
2023-08-17T20:00:00,10,6
2023-10-19T20:00:00,19,7
2023-12-03T19:00:00,48,29
2024-01-21T19:00:00,51,33
2024-07-18T20:00:00,96,53
2025-02-07T19:00:00,10,0
2025-05-09T20:00:00,15,9
2023-03-24T20:00:00,1,1
2023-06-11T20:00:00,17,11
2025-01-31T19:00:00,17,11
2024-05-14T20:00:00,132,73
2024-06-06T20:00:00,57,29
2024-07-21T20:00:00,72,26
2024-10-15T20:00:00,79,38
2024-05-22T20:00:00,84,50
2024-06-21T20:00:00,14,8
2024-11-03T19:00:00,22,8
2024-11-27T19:00:00,50,23
2025-04-22T20:00:00,56,28
2025-06-09T20:00:00,41,20
2023-01-12T19:00:00,26,15
2023-05-26T20:00:00,4,1
2023-12-28T19:00:00,14,8
2024-12-04T19:00:00,57,35
2025-05-08T20:00:00,37,20
2025-09-30T20:00:00,27,11
2023-07-30T20:00:00,27,17
2023-10-20T20:00:00,5,2
2024-09-26T20:00:00,78,37
2023-07-23T20:00:00,19,9
2023-11-21T19:00:00,39,20
2023-09-09T20:00:00,6,1
2023-11-02T20:00:00,14,12
2023-12-22T19:00:00,4,2
2024-05-10T20:00:00,17,13
2025-04-28T20:00:00,4,2
2025-06-26T20:00:00,38,18
2023-02-26T19:00:00,16,8
2023-04-16T20:00:00,21,10
2024-12-08T19:00:00,54,28
2024-06-04T20:00:00,104,59
2025-01-19T19:00:00,53,30
2023-09-18T20:00:00,25,20
2024-01-23T19:00:00,52,25
2023-02-24T19:00:00,5,2
2024-09-09T20:00:00,82,42
2024-03-16T20:00:00,15,7
2024-10-07T20:00:00,96,53
2023-05-14T20:00:00,24,11
2023-11-07T19:00:00,39,25
2025-09-18T20:00:00,26,13
2024-12-13T19:00:00,9,4
2025-05-24T20:00:00,9,5
2023-10-31T20:00:00,20,13
2023-12-09T19:00:00,12,7
2023-12-10T19:00:00,47,23
2023-12-23T19:00:00,6,5
2024-01-02T19:00:00,7,3
2025-08-21T20:00:00,32,8
2023-03-14T20:00:00,19,12
2023-03-19T20:00:00,12,8
2025-07-02T20:00:00,40,21
2024-03-29T20:00:00,10,4
2024-04-30T20:00:00,46,23
2024-12-15T19:00:00,45,26
2025-02-05T19:00:00,65,34
2025-06-01T20:00:00,40,21
2023-04-24T20:00:00,27,13
2024-04-12T20:00:00,17,9
2024-05-02T20:00:00,16,6
2025-07-25T20:00:00,3,0
2025-09-02T20:00:00,57,36
2023-05-08T20:00:00,31,17
2023-11-22T19:00:00,12,3
2023-08-23T20:00:00,34,17
2024-04-14T20:00:00,87,50
2024-06-03T20:00:00,76,32
2023-08-12T20:00:00,1,1
2023-08-18T20:00:00,3,1
2024-01-04T19:00:00,37,23
2025-05-06T20:00:00,42,23
2024-05-24T20:00:00,10,3
2025-04-12T20:00:00,6,4
2024-01-15T19:00:00,47,25
2025-02-06T19:00:00,41,25
2024-03-21T20:00:00,78,43
2024-05-13T20:00:00,113,57
